idx,hypernym_score,negative_score
162,-3.765646457672119,-4.361907482147217
163,-3.765646457672119,-4.2730326652526855
164,-3.765646457672119,-4.905432224273682
165,-4.281744003295898,-4.057831764221191
166,-4.281744003295898,-4.383952617645264
167,-4.281744003295898,-4.629802227020264
168,-4.281744003295898,-4.014936447143555
169,-3.6951918601989746,-4.450143337249756
170,-3.6951918601989746,-4.629802227020264
171,-3.6951918601989746,-3.699965476989746
172,-3.6951918601989746,-4.781124114990234
173,-3.955050230026245,-4.13887357711792
174,-3.955050230026245,-4.679196834564209
175,-3.955050230026245,-4.638610363006592
176,-3.955050230026245,-4.532479763031006
177,-3.915658473968506,-5.176712989807129
178,-3.915658473968506,-4.846022605895996
179,-3.915658473968506,-4.915447235107422
180,-3.915658473968506,-4.947710990905762
181,-3.7188987731933594,-5.263217449188232
182,-3.7188987731933594,-3.7674484252929688
183,-3.7188987731933594,-4.695988655090332
184,-3.7188987731933594,-4.958449363708496
185,-3.4487273693084717,-5.057324409484863
186,-3.4487273693084717,-4.7694478034973145
187,-3.4487273693084717,-4.554917335510254
188,-3.4487273693084717,-5.3748345375061035
189,-3.7523906230926514,-4.886656284332275
190,-3.7523906230926514,-4.438965320587158
191,-3.7523906230926514,-5.373528957366943
192,-3.7523906230926514,-5.230411529541016
193,-3.8127307891845703,-4.246209621429443
194,-3.8127307891845703,-4.58491325378418
195,-3.8127307891845703,-4.707571983337402
196,-3.8127307891845703,-4.666135787963867
197,-4.16439151763916,-5.339906692504883
198,-4.16439151763916,-5.013067245483398
199,-4.16439151763916,-5.683475971221924
200,-4.16439151763916,-5.554350852966309
201,-4.282341957092285,-5.013067245483398
202,-4.282341957092285,-5.773185729980469
203,-4.282341957092285,-5.18151330947876
204,-4.282341957092285,-4.718268394470215
205,-3.362731456756592,-3.7244043350219727
206,-3.362731456756592,-3.881566286087036
207,-3.362731456756592,-3.984011173248291
208,-3.362731456756592,-4.500499248504639
209,-2.912214756011963,-4.500499248504639
210,-2.912214756011963,-4.00949239730835
211,-2.912214756011963,-4.10438871383667
212,-2.912214756011963,-3.702543258666992
213,-4.088241100311279,-4.130551338195801
214,-4.088241100311279,-4.660915374755859
215,-4.088241100311279,-4.074552536010742
216,-4.088241100311279,-4.390028953552246
217,-3.2993552684783936,-4.575807094573975
218,-3.2993552684783936,-4.601302623748779
219,-3.2993552684783936,-4.637550354003906
220,-3.2993552684783936,-4.563666820526123
221,-3.613163948059082,-4.339544296264648
222,-3.613163948059082,-4.244288444519043
223,-3.613163948059082,-4.502070903778076
224,-3.613163948059082,-4.381929874420166
225,-3.3047971725463867,-4.461047649383545
226,-3.3047971725463867,-4.39937686920166
227,-3.3047971725463867,-3.8834660053253174
228,-3.3047971725463867,-4.130317687988281
229,-3.0737860202789307,-4.84666109085083
230,-3.0737860202789307,-4.244288444519043
231,-3.0737860202789307,-4.490916728973389
232,-3.0737860202789307,-4.39937686920166
233,-3.865360975265503,-4.345364570617676
234,-3.865360975265503,-4.313872814178467
235,-3.865360975265503,-4.162783622741699
236,-3.865360975265503,-4.115513801574707
237,-3.1271684169769287,-4.0814056396484375
238,-3.1271684169769287,-3.9644973278045654
239,-3.1271684169769287,-4.152956485748291
240,-3.1271684169769287,-4.000625133514404
